"","Date","country","searches"
"561","2004-01-25","Argentina",0.019
"562","2004-01-25","Bolivia",0.091
"563","2004-01-25","Brazil",0.057
"564","2004-01-25","India",0.059
"565","2004-01-25","Indonesia",0.065
"566","2004-01-25","Mexico",0.033
"567","2004-01-25","Philippines",0.093
"568","2004-01-25","Singapore",0.108
"569","2004-01-25","Thailand",NA
"570","2004-01-25","Venezuela",0.284
"571","2004-02-01","Argentina",0.031
"572","2004-02-01","Bolivia",0.068
"573","2004-02-01","Brazil",0.069
"574","2004-02-01","India",0.043
"575","2004-02-01","Indonesia",0.058
"576","2004-02-01","Mexico",0.037
"577","2004-02-01","Philippines",0.088
"578","2004-02-01","Singapore",0.109
"579","2004-02-01","Thailand",NA
"580","2004-02-01","Venezuela",0.283
"581","2004-02-08","Argentina",0.039
"582","2004-02-08","Bolivia",0.046
"583","2004-02-08","Brazil",0.067
"584","2004-02-08","India",0.033
"585","2004-02-08","Indonesia",0.122
"586","2004-02-08","Mexico",0.032
"587","2004-02-08","Philippines",0.08
"588","2004-02-08","Singapore",0.145
"589","2004-02-08","Thailand",NA
"590","2004-02-08","Venezuela",0.227
"591","2004-02-15","Argentina",0.046
"592","2004-02-15","Bolivia",0.034
"593","2004-02-15","Brazil",0.077
"594","2004-02-15","India",0.058
"595","2004-02-15","Indonesia",0.295
"596","2004-02-15","Mexico",0.031
"597","2004-02-15","Philippines",0.074
"598","2004-02-15","Singapore",0.194
"599","2004-02-15","Thailand",NA
"600","2004-02-15","Venezuela",0.199
"601","2004-02-22","Argentina",0.041
"602","2004-02-22","Bolivia",0.034
"603","2004-02-22","Brazil",0.088
"604","2004-02-22","India",0.039
"605","2004-02-22","Indonesia",0.69
"606","2004-02-22","Mexico",0.033
"607","2004-02-22","Philippines",0.071
"608","2004-02-22","Singapore",0.178
"609","2004-02-22","Thailand",NA
"610","2004-02-22","Venezuela",0.195
"611","2004-02-29","Argentina",0.039
"612","2004-02-29","Bolivia",0.03
"613","2004-02-29","Brazil",0.085
"614","2004-02-29","India",0.031
"615","2004-02-29","Indonesia",1
"616","2004-02-29","Mexico",0.04
"617","2004-02-29","Philippines",0.073
"618","2004-02-29","Singapore",0.172
"619","2004-02-29","Thailand",NA
"620","2004-02-29","Venezuela",0.207
"621","2004-03-07","Argentina",0.039
"622","2004-03-07","Bolivia",0.028
"623","2004-03-07","Brazil",0.096
"624","2004-03-07","India",0.023
"625","2004-03-07","Indonesia",0.8
"626","2004-03-07","Mexico",0.036
"627","2004-03-07","Philippines",0.07
"628","2004-03-07","Singapore",0.161
"629","2004-03-07","Thailand",NA
"630","2004-03-07","Venezuela",0.188
"631","2004-03-14","Argentina",0.053
"632","2004-03-14","Bolivia",0.023
"633","2004-03-14","Brazil",0.071
"634","2004-03-14","India",0.039
"635","2004-03-14","Indonesia",0.521
"636","2004-03-14","Mexico",0.04
"637","2004-03-14","Philippines",0.065
"638","2004-03-14","Singapore",0.164
"639","2004-03-14","Thailand",NA
"640","2004-03-14","Venezuela",0.183
"641","2004-03-21","Argentina",0.065
"642","2004-03-21","Bolivia",0.037
"643","2004-03-21","Brazil",0.085
"644","2004-03-21","India",0.023
"645","2004-03-21","Indonesia",0.424
"646","2004-03-21","Mexico",0.047
"647","2004-03-21","Philippines",0.06
"648","2004-03-21","Singapore",0.135
"649","2004-03-21","Thailand",NA
"650","2004-03-21","Venezuela",0.184
"651","2004-03-28","Argentina",0.063
"652","2004-03-28","Bolivia",0.056
"653","2004-03-28","Brazil",0.096
"654","2004-03-28","India",0.026
"655","2004-03-28","Indonesia",0.205
"656","2004-03-28","Mexico",0.052
"657","2004-03-28","Philippines",0.06
"658","2004-03-28","Singapore",0.17
"659","2004-03-28","Thailand",NA
"660","2004-03-28","Venezuela",0.168
"661","2004-04-04","Argentina",0.046
"662","2004-04-04","Bolivia",0.042
"663","2004-04-04","Brazil",0.071
"664","2004-04-04","India",0.037
"665","2004-04-04","Indonesia",0.262
"666","2004-04-04","Mexico",0.051
"667","2004-04-04","Philippines",0.057
"668","2004-04-04","Singapore",0.149
"669","2004-04-04","Thailand",NA
"670","2004-04-04","Venezuela",0.176
"671","2004-04-11","Argentina",0.041
"672","2004-04-11","Bolivia",0.035
"673","2004-04-11","Brazil",0.054
"674","2004-04-11","India",0.027
"675","2004-04-11","Indonesia",0.212
"676","2004-04-11","Mexico",0.051
"677","2004-04-11","Philippines",0.058
"678","2004-04-11","Singapore",0.127
"679","2004-04-11","Thailand",NA
"680","2004-04-11","Venezuela",0.162
"681","2004-04-18","Argentina",0.036
"682","2004-04-18","Bolivia",0.04
"683","2004-04-18","Brazil",0.067
"684","2004-04-18","India",0.031
"685","2004-04-18","Indonesia",0.186
"686","2004-04-18","Mexico",0.049
"687","2004-04-18","Philippines",0.057
"688","2004-04-18","Singapore",0.118
"689","2004-04-18","Thailand",NA
"690","2004-04-18","Venezuela",0.162
"691","2004-04-25","Argentina",0.041
"692","2004-04-25","Bolivia",0.045
"693","2004-04-25","Brazil",0.027
"694","2004-04-25","India",0.019
"695","2004-04-25","Indonesia",0.151
"696","2004-04-25","Mexico",0.044
"697","2004-04-25","Philippines",0.056
"698","2004-04-25","Singapore",0.127
"699","2004-04-25","Thailand",NA
"700","2004-04-25","Venezuela",0.187
"701","2004-05-02","Argentina",0.041
"702","2004-05-02","Bolivia",0.051
"703","2004-05-02","Brazil",0.039
"704","2004-05-02","India",0.016
"705","2004-05-02","Indonesia",0.142
"706","2004-05-02","Mexico",0.038
"707","2004-05-02","Philippines",0.054
"708","2004-05-02","Singapore",0.15
"709","2004-05-02","Thailand",NA
"710","2004-05-02","Venezuela",0.206
"711","2004-05-09","Argentina",0.041
"712","2004-05-09","Bolivia",0.049
"713","2004-05-09","Brazil",0.043
"714","2004-05-09","India",0.021
"715","2004-05-09","Indonesia",0.127
"716","2004-05-09","Mexico",0.051
"717","2004-05-09","Philippines",0.053
"718","2004-05-09","Singapore",0.138
"719","2004-05-09","Thailand",NA
"720","2004-05-09","Venezuela",0.259
"721","2004-05-16","Argentina",0.036
"722","2004-05-16","Bolivia",0.032
"723","2004-05-16","Brazil",0.031
"724","2004-05-16","India",0.037
"725","2004-05-16","Indonesia",0.139
"726","2004-05-16","Mexico",0.06
"727","2004-05-16","Philippines",0.056
"728","2004-05-16","Singapore",0.12
"729","2004-05-16","Thailand",NA
"730","2004-05-16","Venezuela",0.236
"731","2004-05-23","Argentina",0.036
"732","2004-05-23","Bolivia",0.026
