"","Date","country","searches"
"634","2003-05-25","Sweden",NA
"635","2003-05-25","Switzerland",NA
"636","2003-05-25","Ukraine",NA
"637","2003-05-25","United.States",NA
"638","2003-05-25","Uruguay",118
"639","2003-06-01","Argentina",253
"640","2003-06-01","Australia",NA
"641","2003-06-01","Austria",NA
"642","2003-06-01","Belgium",NA
"643","2003-06-01","Bolivia",567
"644","2003-06-01","Brazil",403
"645","2003-06-01","Bulgaria",NA
"646","2003-06-01","Canada",NA
"647","2003-06-01","Chile",2
"648","2003-06-01","France",NA
"649","2003-06-01","Germany",NA
"650","2003-06-01","Hungary",NA
"651","2003-06-01","Japan",NA
"652","2003-06-01","Mexico",NA
"653","2003-06-01","Netherlands",NA
"654","2003-06-01","New.Zealand",NA
"655","2003-06-01","Norway",NA
"656","2003-06-01","Paraguay",NA
"657","2003-06-01","Peru",497
"658","2003-06-01","Poland",NA
"659","2003-06-01","Romania",584
"660","2003-06-01","Russia",NA
"661","2003-06-01","South.Africa",NA
"662","2003-06-01","Spain",NA
"663","2003-06-01","Sweden",NA
"664","2003-06-01","Switzerland",NA
"665","2003-06-01","Ukraine",NA
"666","2003-06-01","United.States",NA
"667","2003-06-01","Uruguay",128
"668","2003-06-08","Argentina",261
"669","2003-06-08","Australia",NA
"670","2003-06-08","Austria",NA
"671","2003-06-08","Belgium",NA
"672","2003-06-08","Bolivia",529
"673","2003-06-08","Brazil",371
"674","2003-06-08","Bulgaria",NA
"675","2003-06-08","Canada",NA
"676","2003-06-08","Chile",2
"677","2003-06-08","France",NA
"678","2003-06-08","Germany",NA
"679","2003-06-08","Hungary",NA
"680","2003-06-08","Japan",NA
"681","2003-06-08","Mexico",NA
"682","2003-06-08","Netherlands",NA
"683","2003-06-08","New.Zealand",NA
"684","2003-06-08","Norway",NA
"685","2003-06-08","Paraguay",NA
"686","2003-06-08","Peru",358
"687","2003-06-08","Poland",NA
"688","2003-06-08","Romania",568
"689","2003-06-08","Russia",NA
"690","2003-06-08","South.Africa",NA
"691","2003-06-08","Spain",NA
"692","2003-06-08","Sweden",NA
"693","2003-06-08","Switzerland",NA
"694","2003-06-08","Ukraine",NA
"695","2003-06-08","United.States",NA
"696","2003-06-08","Uruguay",157
"697","2003-06-15","Argentina",258
"698","2003-06-15","Australia",NA
"699","2003-06-15","Austria",NA
"700","2003-06-15","Belgium",NA
"701","2003-06-15","Bolivia",521
"702","2003-06-15","Brazil",334
"703","2003-06-15","Bulgaria",NA
"704","2003-06-15","Canada",NA
"705","2003-06-15","Chile",3
"706","2003-06-15","France",NA
"707","2003-06-15","Germany",NA
"708","2003-06-15","Hungary",NA
"709","2003-06-15","Japan",NA
"710","2003-06-15","Mexico",NA
"711","2003-06-15","Netherlands",NA
"712","2003-06-15","New.Zealand",NA
"713","2003-06-15","Norway",NA
"714","2003-06-15","Paraguay",NA
"715","2003-06-15","Peru",410
"716","2003-06-15","Poland",NA
"717","2003-06-15","Romania",561
"718","2003-06-15","Russia",NA
"719","2003-06-15","South.Africa",NA
"720","2003-06-15","Spain",NA
"721","2003-06-15","Sweden",NA
"722","2003-06-15","Switzerland",NA
"723","2003-06-15","Ukraine",NA
"724","2003-06-15","United.States",NA
"725","2003-06-15","Uruguay",221
"726","2003-06-22","Argentina",278
"727","2003-06-22","Australia",NA
"728","2003-06-22","Austria",NA
"729","2003-06-22","Belgium",NA
"730","2003-06-22","Bolivia",526
"731","2003-06-22","Brazil",279
"732","2003-06-22","Bulgaria",NA
"733","2003-06-22","Canada",NA
"734","2003-06-22","Chile",3
"735","2003-06-22","France",NA
"736","2003-06-22","Germany",NA
"737","2003-06-22","Hungary",NA
"738","2003-06-22","Japan",NA
"739","2003-06-22","Mexico",NA
"740","2003-06-22","Netherlands",NA
"741","2003-06-22","New.Zealand",NA
"742","2003-06-22","Norway",NA
"743","2003-06-22","Paraguay",NA
"744","2003-06-22","Peru",427
"745","2003-06-22","Poland",NA
"746","2003-06-22","Romania",553
"747","2003-06-22","Russia",NA
"748","2003-06-22","South.Africa",NA
"749","2003-06-22","Spain",NA
"750","2003-06-22","Sweden",NA
"751","2003-06-22","Switzerland",NA
"752","2003-06-22","Ukraine",NA
"753","2003-06-22","United.States",NA
"754","2003-06-22","Uruguay",308
"755","2003-06-29","Argentina",348
"756","2003-06-29","Australia",NA
"757","2003-06-29","Austria",NA
"758","2003-06-29","Belgium",NA
"759","2003-06-29","Bolivia",506
"760","2003-06-29","Brazil",266
"761","2003-06-29","Bulgaria",NA
"762","2003-06-29","Canada",NA
"763","2003-06-29","Chile",4
"764","2003-06-29","France",NA
"765","2003-06-29","Germany",NA
"766","2003-06-29","Hungary",NA
"767","2003-06-29","Japan",NA
"768","2003-06-29","Mexico",NA
"769","2003-06-29","Netherlands",NA
"770","2003-06-29","New.Zealand",NA
"771","2003-06-29","Norway",NA
"772","2003-06-29","Paraguay",NA
"773","2003-06-29","Peru",394
"774","2003-06-29","Poland",NA
"775","2003-06-29","Romania",553
"776","2003-06-29","Russia",NA
"777","2003-06-29","South.Africa",NA
"778","2003-06-29","Spain",NA
"779","2003-06-29","Sweden",NA
"780","2003-06-29","Switzerland",NA
"781","2003-06-29","Ukraine",NA
"782","2003-06-29","United.States",NA
"783","2003-06-29","Uruguay",251
"784","2003-07-06","Argentina",325
"785","2003-07-06","Australia",NA
"786","2003-07-06","Austria",NA
"787","2003-07-06","Belgium",NA
"788","2003-07-06","Bolivia",480
"789","2003-07-06","Brazil",256
"790","2003-07-06","Bulgaria",NA
